"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0032864","경기 화성시","금탑셀프주유소","경기 화성시 비봉면 서해로 1692","2025년 09월","SK에너지","셀프","0.00","1620.00","1484.67","0.00"
"A0032864","경기 화성시","금탑셀프주유소","경기 화성시 비봉면 서해로 1692","2025년 10월","SK에너지","셀프","0.00","1617.61","1492.87","0.00"
"A0002265","경기 화성시","금호주유소","경기 화성시 향남읍 은행나무로 561-4","2025년 09월","GS칼텍스","일반","0.00","1659.00","1557.00","1301.67"
"A0002265","경기 화성시","금호주유소","경기 화성시 향남읍 은행나무로 561-4","2025년 10월","GS칼텍스","일반","0.00","1659.00","1557.71","1303.23"
"A0002703","경기 화성시","기아현대주유소","경기 화성시 우정읍 기아자동차로 386","2025년 09월","HD현대오일뱅크","셀프","0.00","1659.33","1550.00","0.00"
"A0002703","경기 화성시","기아현대주유소","경기 화성시 우정읍 기아자동차로 386","2025년 10월","HD현대오일뱅크","셀프","0.00","1659.32","1549.32","0.00"
"A0033339","경기 화성시","기안셀프주유소","경기 화성시 서부로 1343","2025년 09월","SK에너지","셀프","1868.00","1628.00","1488.00","0.00"
"A0033339","경기 화성시","기안셀프주유소","경기 화성시 서부로 1343","2025년 10월","SK에너지","셀프","1871.23","1631.23","1491.23","1500.00"
"A0002151","경기 화성시","기영주유소","경기 화성시 향남읍 은행나무로 627","2025년 09월","SK에너지","일반","0.00","1688.00","1563.67","1350.00"
"A0002151","경기 화성시","기영주유소","경기 화성시 향남읍 은행나무로 627","2025년 10월","SK에너지","일반","0.00","1688.00","1559.29","1350.00"
"A0009855","경기 화성시","남양대로주유소","경기 화성시 남양읍 화성로 1235","2025년 09월","HD현대오일뱅크","셀프","0.00","1611.53","1466.07","0.00"
"A0009855","경기 화성시","남양대로주유소","경기 화성시 남양읍 화성로 1235","2025년 10월","HD현대오일뱅크","셀프","0.00","1619.71","1503.39","0.00"
"A0002330","경기 화성시","남양신도시주유소","경기 화성시 남양읍 화성로 957","2025년 09월","GS칼텍스","셀프","0.00","1582.33","1447.00","1348.33"
"A0002330","경기 화성시","남양신도시주유소","경기 화성시 남양읍 화성로 957","2025년 10월","GS칼텍스","셀프","0.00","1597.23","1473.00","1287.74"
"A0002171","경기 화성시","노하공단주유소","경기 화성시 팔탄면 현대기아로 8","2025년 09월","SK에너지","일반","0.00","1759.00","1639.00","1448.21"
"A0002171","경기 화성시","노하공단주유소","경기 화성시 팔탄면 현대기아로 8","2025년 10월","SK에너지","일반","0.00","1762.23","1642.23","1432.26"
"A0002553","경기 화성시","대경TLS(주)대경주유소","경기 화성시 우정읍 남양만로 454","2025년 09월","SK에너지","일반","0.00","1685.20","1555.20","0.00"
"A0002553","경기 화성시","대경TLS(주)대경주유소","경기 화성시 우정읍 남양만로 454","2025년 10월","SK에너지","일반","0.00","1679.57","1545.29","0.00"
"A0008986","경기 화성시","대동에너지주유소","경기 화성시 양감면 은행나무로 442","2025년 09월","HD현대오일뱅크","셀프","0.00","1659.00","1533.00","1300.00"
"A0008986","경기 화성시","대동에너지주유소","경기 화성시 양감면 은행나무로 442","2025년 10월","HD현대오일뱅크","셀프","0.00","1659.00","1535.13","1300.00"
"A0032920","경기 화성시","대명에너지2","경기 화성시 정남면 만년로 778-5","2025년 09월","HD현대오일뱅크","셀프","0.00","1628.00","1488.00","0.00"
"A0032920","경기 화성시","대명에너지2","경기 화성시 정남면 만년로 778-5","2025년 10월","HD현대오일뱅크","셀프","0.00","1634.03","1509.84","0.00"
"A0002562","경기 화성시","대보유통㈜ 화성(상)주유소/충전소","경기 화성시 팔탄면 서해안고속도로 302-1","2025년 09월","알뜰(ex)","셀프","0.00","1604.30","1474.00","0.00"
"A0002562","경기 화성시","대보유통㈜ 화성(상)주유소/충전소","경기 화성시 팔탄면 서해안고속도로 302-1","2025년 10월","알뜰(ex)","셀프","0.00","1608.45","1481.42","0.00"
"A0002561","경기 화성시","대보유통㈜화성(하)목포방향","경기 화성시 팔탄면 서해안고속도로 301-1","2025년 09월","알뜰(ex)","셀프","0.00","1604.30","1474.00","0.00"
"A0002561","경기 화성시","대보유통㈜화성(하)목포방향","경기 화성시 팔탄면 서해안고속도로 301-1","2025년 10월","알뜰(ex)","셀프","0.00","1608.45","1481.42","0.00"
"A0011822","경기 화성시","대성유류판매(주)주유소","경기 화성시 우정읍 포승향남로 1208","2025년 09월","SK에너지","셀프","0.00","1619.00","1482.20","1236.21"
"A0011822","경기 화성시","대성유류판매(주)주유소","경기 화성시 우정읍 포승향남로 1208","2025년 10월","SK에너지","셀프","0.00","1616.10","1481.23","1200.00"
"A0033241","경기 화성시","대양석유(주)동탄드림주유소","경기도 화성시 동탄순환대로 731(영천동)","2025년 09월","SK에너지","셀프","0.00","1729.00","1594.00","0.00"
"A0033241","경기 화성시","대양석유(주)동탄드림주유소","경기도 화성시 동탄순환대로 731(영천동)","2025년 10월","SK에너지","셀프","0.00","1729.00","1594.00","0.00"
"A0005805","경기 화성시","대원주유소","경기 화성시 팔탄면 서해로 1322-3","2025년 09월","S-OIL","셀프","0.00","1599.00","1447.00","0.00"
"A0005805","경기 화성시","대원주유소","경기 화성시 팔탄면 서해로 1322-3","2025년 10월","S-OIL","셀프","0.00","1599.00","1449.90","0.00"
"A0002377","경기 화성시","덕성주유소","경기 화성시 팔탄면 버들로 1509","2025년 09월","HD현대오일뱅크","일반","0.00","1718.00","1588.00","1450.00"
"A0002377","경기 화성시","덕성주유소","경기 화성시 팔탄면 버들로 1509","2025년 10월","HD현대오일뱅크","일반","0.00","1718.00","1588.00","1450.00"
"A0002174","경기 화성시","덕우주유소","경기 화성시 팔탄면 온천로 127","2025년 09월","GS칼텍스","일반","0.00","1669.00","1512.33","1248.33"
"A0002174","경기 화성시","덕우주유소","경기 화성시 팔탄면 온천로 127","2025년 10월","GS칼텍스","일반","0.00","1659.97","1515.97","1230.65"
"A0002488","경기 화성시","동그라미주유소","경기 화성시 팔탄면 서해로 1380","2025년 09월","GS칼텍스","셀프","0.00","1599.00","1447.00","0.00"
